pmid,question,context,ground_truth,label,question_word_count,context_word_count
18534072,Do general practice characteristics influence uptake of an information technology (IT) innovation in primary care?,"Recent evaluations of IT innovations in primary care have highlighted variations between centres and practices in uptake and use. We evaluated whether structural characteristics of a general practice were associated with variations in use of a web-based clinical information system underpinning a Managed Clinical Network in diabetes, between the years 2001 and 2003. Using a computerised audit trail, we calculated the numbers of web-based operations that occurred in each practice, stratified by staff type and year, and adjusted for the numbers of registered diabetic patients. In regression analyses, we determined whether total use was associated with structural characteristics of the practice (total list size, training status, numbers of GPs (general practitioners), mean age of the GPs, numbers of female GPs, level of deprivation of the population and whether staff had received advanced training in diabetes care). Initially there were a few practices which made very frequent use of the information system, with relatively high numbers of practices using the facility infrequently. However, overall use gradually became more evenly spread. This effect was particularly evident among nurse users. Frequent use by GPs was evident in only a small number of practices, with mean GP use decreasing over the three years. In linear regression analyses, none of the general practice variables were associated with online use, either overall or stratified by staff type, except for the numbers of diabetes-educated staff. This was consistently associated with increased use by nurses and GPs.","The analyses show that structural characteristics of a practice are not associated with uptake of a new IT facility, but that its use may be influenced by post-graduate education in the relevant clinical condition. For this diabetes system at least, practice nurse use was critical in spreading uptake beyond initial GP enthusiasts and for sustained and rising use in subsequent years.",no,15,239
9427037,Are endothelial cell patterns of astrocytomas indicative of grade?,"The most common primary brain tumors in children and adults are of astrocytic origin. Classic histologic grading schemes for astrocytomas have included evaluating the presence or absence of nuclear abnormalities, mitoses, vascular endothelial proliferation, and tumor necrosis. We evaluated the vascular pattern of 17 astrocytoma surgical specimens (seven from children and 10 from adults), and four normal brains obtained at autopsy, utilizing antibody to glial fibrillary acidic protein (GFAP) and von Willebrand factor (vWF) utilizing confocal microscopy. A modified WHO classification was used. All tumor cases showed cells positive for GFAP. Control tissues showed a few, widely separated vessels. Pilocytic astrocytomas (four cases) showed lacy clusters of small-to-medium sized vessels, with intact vessel wall integrity. Diffuse, low grade astrocytoma (three cases) showed a staining pattern similar to control tissue; intermediate grade (one case), anaplastic astrocytoma (three cases) and gliobastoma multiforme (six cases) showed an increased vessel density with multiple small vessels (glomeruloid clusters), some with prominent intimal hyperplasia, loss of vessel wall integrity, and with numerous vWF-positive single cells/microvessels within the tumor substance.",Evaluation of astrocytomas utilizing antibody to vWF and confocal microscopy aids in the grading of these neoplasms.,yes,9,173
21342862,Is EQ-5D a valid quality of life instrument in patients with acute coronary syndrome?,"To evaluate the construct validity of the Turkish version of the EQ-5D in patients with acute coronary syndrome. The study was conducted as a cross-sectional study at the Trakya University Hospital between February and May 2008. All patients completed the Turkish version of the EQ-5D and MacNew heart-related quality of life scale. Construct validity of the EQ-5D was assessed according to relationships with MacNew subscales by using Spearman rank correlation and multiple linear regression analyses. One hundred and twenty-two patients responded to the instruments. Mean age was 62.9±9.3 years and male gender (88 or 72.1%) was dominant. Mean score of the EQ-5D index was 0.79±0.32, while the global score of MacNew was 5.01±1.16. The correlation coefficients of the EQ-5D index score with the MacNew subscales ranged from 0.557 to 0.721, with EQ-5D VAS score ranging from 0.297 to 0.484 (p<0.001 for all of them). According to the stepwise regression model MacNew global score was found to be significantly effective factor on EQ-5D index score (β =0.188; 95% CI: 0.152-0.224; p<0.001).",The Turkish version of the EQ-5D-based utility score seems to be a valid instrument in the assessment of quality of life studies in patients with acute coronary syndrome.,yes,14,170
27096199,Does Viral Co-Infection Influence the Severity of Acute Respiratory Infection in Children?,"Multiple viruses are often detected in children with respiratory infection but the significance of co-infection in pathogenesis, severity and outcome is unclear. To correlate the presence of viral co-infection with clinical phenotype in children admitted with acute respiratory infections (ARI). We collected detailed clinical information on severity for children admitted with ARI as part of a Spanish prospective multicenter study (GENDRES network) between 2011-2013. A nested polymerase chain reaction (PCR) approach was used to detect respiratory viruses in respiratory secretions. Findings were compared to an independent cohort collected in the UK. 204 children were recruited in the main cohort and 97 in the replication cohort. The number of detected viruses did not correlate with any markers of severity. However, bacterial superinfection was associated with increased severity (OR: 4.356; P-value = 0.005), PICU admission (OR: 3.342; P-value = 0.006), higher clinical score (1.988; P-value = 0.002) respiratory support requirement (OR: 7.484; P-value<0.001) and longer hospital length of stay (OR: 1.468; P-value<0.001). In addition, pneumococcal vaccination was found to be a protective factor in terms of degree of respiratory distress (OR: 2.917; P-value = 0.035), PICU admission (OR: 0.301; P-value = 0.011), lower clinical score (-1.499; P-value = 0.021) respiratory support requirement (OR: 0.324; P-value = 0.016) and oxygen necessity (OR: 0.328; P-value = 0.001). All these findings were replicated in the UK cohort.","The presence of more than one virus in hospitalized children with ARI is very frequent but it does not seem to have a major clinical impact in terms of severity. However bacterial superinfection increases the severity of the disease course. On the contrary, pneumococcal vaccination plays a protective role.",no,12,222
19923859,Can T-cell deficiency affect spatial learning ability following toluene exposure?,"The present studywas designed to investigate the possible role of T cells in spatial learning ability in mouse after toluene exposure. Eight-week-old male wild-type (WT) and nude mice of BALB/c strain were exposed to toluene (0, 9 and 90 ppm) in a nose-only exposure chamber for 30 min per day for 3 consecutive days and then once per week for 4 weeks. Twenty-four hours after the completion of exposure, we examined the spatial learning ability in each mouse using the Morris water maze apparatus. In the acquisition phase, a longer escape latency was observed in nude mice exposed to 90 ppm toluene on days 3 and 4 when compared with corresponding WT mice. However, the effect of toluene on the escape latency was not significant in nude mice. In the probe trial, WT mice exposed to 90 ppm toluene showed poor retention memory compared with the control group. In the reversal phase, we did not find any significant difference between groups.",These results indicate that T-cell deficiency may affect spatial learning performance following toluene exposure.,yes,10,161
20842006,Neck pain treatment with acupuncture: does the number of needles matter?,"Acupuncture has been successfully used in myofascial pain syndromes. However, the number of needles used, that is, the dose of acupuncture stimulation, to obtain the best antinociceptive efficacy is still a matter of debate. The question was addressed comparing the clinical efficacy of two different therapeutic schemes, characterized by a different number of needles used on 36 patients between 29-60 years of age with by a painful cervical myofascial syndrome. Patients were divided into two groups; the first group of 18 patients were treated with 5 needles and the second group of 18 patients were treated with 11 needles, the time of needle stimulation was the same in both groups: 100 seconds. Each group underwent six cycles of somatic acupuncture. Pain intensity was evaluated before, immediately after and 1 and 3 months after the treatment by means of both the Mc Gill Pain Questionnaire and the Visual Analogue Scale (VAS). In both groups, the needles were fixed superficially excluding the two most painful trigger points where they were deeply inserted. Both groups, independently from the number of needles used, obtained a good therapeutic effect without clinically relevant differences.","For this pathology, the number of needles, 5 or 11, seems not to be an important variable in determining the therapeutic effect when the time of stimulation is the same in the two groups.",no,11,188
17096624,Do patterns of knowledge and attitudes exist among unvaccinated seniors?,To examine patterns of knowledge and attitudes among adults aged>65 years unvaccinated for influenza. Surveyed Medicare beneficiaries in 5 areas; clustered unvaccinated seniors by their immunization related knowledge and attitudes. Identified 4 clusters: Potentials (45%) would receive influenza vaccine to prevent disease; Fearful Uninformeds (9%) were unsure if influenza vaccine causes illness; Doubters (27%) were unsure if vaccine is efficacious; Misinformeds (19%) believed influenza vaccine causes illness. More Potentials (75%) and Misinformeds (70%) ever received influenza vaccine than did Fearful Uninformeds (18%) and Doubters (29%).,Findings suggest that cluster analyses may be useful in identifying groups for targeted health messages.,yes,10,85
17910536,Adults with mild intellectual disabilities: can their reading comprehension ability be improved?,"Adults with a mild intellectual disability (ID) often show poor decoding and reading comprehension skills. The goal of this study was to investigate the effects of teaching text comprehension strategies to these adults. Specific research goals were to determine (1) the effects of two instruction conditions, i.e. strategy instruction to individuals and strategy instruction in small groups in a reciprocal teaching context; (2) intervention programme effects on specific strategy tests (so-called direct effects), and possible differences between strategies; (3) (long-term) transfer effects of the programme on general reading comprehension ability; and (4) the regression of general text comprehension by the variables of technical reading, IQ, reading comprehension of sentences (RCS), and pretest and posttest scores on the strategies taught. In total, 38 adults (age range 20-72 years; mean age of 36 years) with ID participated in the study. IQs ranged from 45 to 69 with a mean IQ of 58. The intervention programme involved 15 weekly lessons of 1 h each, taught during 3 months. Blocks of lessons included each of Brown and Palincsar's strategies of summarizing, questioning, clarifying and predicting, as participants read and studied narrative and expository texts. Results indicated no significant difference between group and individual instruction conditions. Second, direct programme effects - as determined by posttest-pretest contrasts for strategy tests - were substantial, except for the questioning strategy. Third, even more substantial was the transfer effect to general text comprehension. Moreover, the results on this test were well maintained at a follow-up test. Finally, the variance of general reading comprehension ability was best explained by the test of RCS, and only moderately by the strategies trained.",The presently used intervention programme provides a good starting point for adults with ID to become better readers.,yes,12,270
27338535,Do risk calculators accurately predict surgical site occurrences?,"Current risk assessment models for surgical site occurrence (SSO) and surgical site infection (SSI) after open ventral hernia repair (VHR) have limited external validation. Our aim was to determine (1) whether existing models stratify patients into groups by risk and (2) which model best predicts the rate of SSO and SSI. Patients who underwent open VHR and were followed for at least 1 mo were included. Using two data sets-a retrospective multicenter database (Ventral Hernia Outcomes Collaborative) and a single-center prospective database (Prospective)-each patient was assigned a predicted risk with each of the following models: Ventral Hernia Risk Score (VHRS), Ventral Hernia Working Group (VHWG), Centers for Disease Control and Prevention Wound Class, and Hernia Wound Risk Assessment Tool (HW-RAT). Patients in the Prospective database were also assigned a predicted risk from the American College of Surgeons National Surgical Quality Improvement Program (ACS-NSQIP). Areas under the receiver operating characteristic curve (area under the curve [AUC]) were compared to assess the predictive accuracy of the models for SSO and SSI. Pearson's chi-square was used to determine which models were able to risk-stratify patients into groups with significantly differing rates of actual SSO and SSI. The Ventral Hernia Outcomes Collaborative database (n = 795) had an overall SSO and SSI rate of 23% and 17%, respectively. The AUCs were low for SSO (0.56, 0.54, 0.52, and 0.60) and SSI (0.55, 0.53, 0.50, and 0.58). The VHRS (P = 0.01) and HW-RAT (P < 0.01) significantly stratified patients into tiers for SSO, whereas the VHWG (P < 0.05) and HW-RAT (P < 0.05) stratified for SSI. In the Prospective database (n = 88), 14% and 8% developed an SSO and SSI, respectively. The AUCs were low for SSO (0.63, 0.54, 0.50, 0.57, and 0.69) and modest for SSI (0.81, 0.64, 0.55, 0.62, and 0.73). The ACS-NSQIP (P < 0.01) stratified for SSO, whereas the VHRS (P < 0.01) and ACS-NSQIP (P < 0.05) stratified for SSI. In both databases, VHRS, VHWG, and Centers for Disease Control and Prevention overestimated risk of SSO and SSI, whereas HW-RAT and ACS-NSQIP underestimated risk for all groups.","All five existing predictive models have limited ability to risk-stratify patients and accurately assess risk of SSO. However, both the VHRS and ACS-NSQIP demonstrate modest success in identifying patients at risk for SSI. Continued model refinement is needed to improve the two highest performing models (VHRS and ACS-NSQIP) along with investigation to determine whether modifications to perioperative management based on risk stratification can improve outcomes.",no,8,350
24098953,Are IgM-enriched immunoglobulins an effective adjuvant in septic VLBW infants?,"All VLBW infants from January 2008 to December 2012 with positive blood culture beyond 72 hours of life were enrolled in a retrospective cohort study. Newborns born after June 2010 were treated with IgM-eIVIG, 250 mg/kg/day iv for three days in addition to standard antibiotic regimen and compared to an historical cohort born before June 2010, receiving antimicrobial regimen alone. Short-term mortality (i.e. death within 7 and 21 days from treatment) was the primary outcome. Secondary outcomes were: total mortality, intraventricular hemorrhage, necrotizing enterocolitis, periventricular leukomalacia, bronchopulmonary dysplasia at discharge. 79 neonates (40 cases) were enrolled. No difference in birth weight, gestational age or SNAP II score (disease severity score) were found. Significantly reduced short-term mortality was found in treated infants (22% vs 46%; p = 0.005) considering all microbial aetiologies and the subgroup affected by Candida spp. Secondary outcomes were not different between groups.",This hypothesis-generator study shows that IgM-eIVIG is an effective adjuvant therapy in VLBW infants with proven sepsis. Randomized controlled trials are warranted to confirm this pilot observation.,yes,10,145
17192736,Is fluoroscopy essential for retrieval of lower ureteric stones?,"The aim of this study was to assess the efficacy of ureteroscopy for lower ureteric stones without the use of fluoroscopy. Between June 2001 and January 2005, a total of 110 patients with a mean age of 33.5 years (range 12-65) suffering from of lower ureteral calculi (below the upper margin of the sacroiliac joint) prospectively underwent ureteroscopic removal. Retrograde pyelography was avoided, and no safety guidewire was placed. Whenever required, the ureteric meatus was dilated with a ureteric balloon under direct vision. Double-J stent placement was done with the aid of ureteroscopy. A fluoroscope was kept standby. The patients had a postoperative X-ray of the kidney-ureter-bladder region to document the stone clearance. The mean stone size was 8.7 mm (range 6-15). Complete clearance without the use of fluoroscopy was achieved in 99 patients (94.2%). Fluoroscopy was required in 6 patients (4%) for calcified stricture (n = 1), duplex system (n = 1), narrow and tortuous meatus causing difficulty in passing the 5-Fr balloon dilator (n = 3), and confirmation of spontaneous passage of the stone (n = 1). Of the 13 patients who required balloon dilatation it was successfully achieved without fluoroscopy. Double-J stenting was done due to mucosal ulceration (n = 3), polypoid reaction (n = 2), and perforation (n = 1). All these patients had correct placement of the stent, as confirmed by X-ray of the kidney-ureter-bladder region postoperatively.","To uphold the notion for radiation exposure to be as low as reasonably achievable, ureteroscopic stone retrieval can safely be done without the use of fluoroscopy in a significant number of patients.",no,9,232
21084567,Are stroke patients' reports of home blood pressure readings reliable?,"Home blood pressure (BP) monitoring is gaining increasing popularity among patients and may be useful in hypertension management. Little is known about the reliability of stroke patients' records of home BP monitoring. To assess the reliability of home BP recording in hypertensive patients who had suffered a recent stroke or transient ischaemic attack. Thirty-nine stroke patients (mean age 73 years) randomized to the intervention arm of a trial of home BP monitoring were included. Following instruction by a research nurse, patients recorded their BPs at home and documented them in a booklet over the next year. The booklet readings over a month were compared with the actual readings downloaded from the BP monitor and were checked for errors or selective bias in recording. A total of 1027 monitor and 716 booklet readings were recorded. Ninety per cent of booklet recordings were exactly the same as the BP monitor readings. Average booklet readings were 0.6 mmHg systolic [95% confidence interval (95% CI) -0.6 to 1.8] and 0.3 mmHg diastolic (95% CI -0.3 to 0.8) lower than those on the monitor.","This group of elderly stroke patients were able to record their BPs reliably at home. Any bias was small and would be unlikely to affect management. Since BP readings in a GP surgery are often a poor indication of true BP, GPs might consider using hypertensive patients' records of home BP monitoring to help guide treatment decisions.",yes,10,179
20594006,A patient with myelomeningocele: is untethering necessary prior to scoliosis correction?,"Tethering of the spinal cord is thought to increase the chance of neurological injury when scoliosis correction is undertaken. All patients with myelomeningocele (MM) are radiographically tethered, and untethering procedures carry significant morbidity risks including worsening neurological function and wound complications. No guidelines exist as regards untethering in patients with MM prior to scoliosis correction surgery. The authors' aim in this study was to evaluate their experience in patients with MM who were not untethered before scoliosis correction. Seventeen patients with MM were retrospectively identified and 1) had no evidence of a clinically symptomatic tethered cord, 2) had undergone spinal fusion for scoliosis correction, and 3) had not been untethered for at least 1 year prior to surgery. The minimum follow-up after fusion was 2 years. Charts and radiographs were reviewed for neurological or shunt complications in the perioperative period. The average age of the patients was 12.4 years, and the following neurological levels were affected: T-12 and above, 7 patients; L-1/L-2, 6 patients; L-3, 2 patients; and L-4, 2 patients. All were radiographically tethered as confirmed on MR imaging. Fourteen of the patients (82%) had a ventriculoperitoneal shunt. The mean Cobb angle was corrected from 82 degrees to 35 degrees , for a 57% correction. All patients underwent neuromonitoring of their upper extremities, and some underwent lower extremity monitoring as well. Postoperatively, no patient experienced a new cranial nerve palsy, shunt malfunction, change in urological function, or upper extremity weakness/sensory loss. One patient had transient lower extremity weakness, which returned to baseline within 1 month of surgery.","The study results suggested that spinal cord untethering may be unnecessary in patients with MM who are undergoing scoliosis corrective surgery and do not present with clinical symptoms of a tethered cord, even though tethering is radiographically demonstrated.",no,11,258
22972546,Do approved doctors and medical referees in the UK agree when assessing a seafarer's fitness?,"The seafaring industry remains a hazardous occupation that requires sophisticated systems of risk and fitness assessment. This study aims to investigate the extent of agreement between Approved Doctors (ADs) and Medical Referees (MRs) when they assess a seafarer's fitness. Between 2003 and 2009 a total of 232,878 seafarer medical examinations were carried out by ADs, of which 465 were considered by the MRs because the seafarer appealed against the AD's decision. The extent of agreement between ADs and MRs was studied. Two hundred and sixty-eight (58%) cases seen by the ADs were classed as category 4 ""permanently unfit""; the referees only placed 85 (18%) of them in this category. On the other hand, 252 (54%) cases seen by the MRs were classed as category 2 ""fit with restrictions"", while the ADs had only placed 111 (24%) in this category. The overall agreement between the assessors (AD vs. MR) was poor (Kappa K = 0.18). For cardiovascular diseases and for mental ill-health, access to additional information by the MR was the commonest reason for changing the fitness category, but for all other conditions factors such as the experience and knowledge of the MRs or their different interpretation of the standards were the most frequent reasons for a change to fitness category or to restrictions.",This study found that there was poor agreement between the AD's decision and the subsequent MR's decision regarding the fitness of those seafarers who decided to appeal against the AD's initial assessment. The reasons for this are considered.,no,15,213
23348330,Nasal fractures:  is closed reduction satisfying?,"This study aims to evaluate the efficacy of closed reduction and the effects of timing and fracture types on patient satisfaction. Only patients with isolated nasal fractures were included in the study. Patients with additional maxillofacial fractures and patients whose application time to our clinic was more than 10 days after the trauma were excluded. Patients were classified into 5 types according to their fracture. All patients underwent closed reduction and external fixation under local anesthesia. Patients were asked about their satisfaction in a survey at 28th day and sixth month after the surgery. Patients were divided into groups according to fracture type and intervention time, and the results of the survey were evaluated. Of the 43 patients included in the study, 38 were male, 5 were female, and the average age was 24.9. The average intervention time of the patients was 5.44 days. Twenty-eight (65%) of 43 patients were satisfied with the result, whereas 15 (35%) patients were not happy with their operation. In a comparison of patient satisfaction rates according to fracture type, the mild fracture group had a higher satisfaction rate compared to the severe fracture group.","Closed reduction is an easy and sufficient treatment for nasal fractures, especially for mild nasal fractures. Early intervention raises the patient satisfaction rate.",yes,6,190
25669733,Can distal ureteral diameter predict reflux resolution after endoscopic injection?,"To test the predictive value of distal ureteral diameter (UD) on reflux resolution after endoscopic injection in children with primary vesicoureteral reflux (VUR). This was a retrospective review of patients diagnosed with primary VUR between 2009 and 2012 who were managed by endoscopic injection. Seventy preoperative and postoperative voiding cystourethrograms were reviewed. The largest UD within the false pelvis was measured. The UD was divided by the L1-L3 vertebral body distance to get the UD ratio (UDR). One radiologist interpreted the findings of voiding cystourethrography in all patients. Clinical outcome was defined as reflux resolution. Seventy patients were enrolled in this series (17 boys and 53 girls). Mean age was 5.9 years (1.2-13 years). Grade III presented in 37 patients (53%), and 33 patients (47%) were of grade IV. Mean distal UD was 5.5 mm (2.5-13 mm). Mean UDR was 37.8% (18%-70%). Macroplastique injection was performed in all. Subureteric injection was performed in 60 patients (86%), whereas intraureteric injection was performed in 10 patients. No postoperative complications were detected. The effect of grade, UD, and UDR on success after endoscopic injection was tested. UD and UDR were significant predictors of reflux resolution on logistic regression analysis (P <.007 and .001, respectively).",UDR provides an objective measurement of VUR and appears as a predictive tool of success after endoscopic injection.,yes,10,201
15841770,Do inhaled steroids differ from cromones in terms of hospital admission rates for asthma in children?,"Annual data on children aged under 16 y treated for asthma, including consumption of regular medication for asthma, numbers of hospital periods, lengths of hospitalizations and annual proportions of readmissions, were collected using patient-specific medical records from 1995 to 1999. In the Kuopio province, on average, 35.6-36.7/1000 children were on maintenance for asthma, of which 23% were receiving cromones, 51% were taking inhaled steroids and 26% were treated with cromones plus intermittent steroids. In the Oulu province, the respective prevalence was 32.7-34.9/1000, and the respective proportions were 5%, 93% and 2%. Total and first admissions, as well as hospital days were clearly less in the Oulu province. In the children aged>or = 6y, the average annual total admissions were 0.3/1000 (Oulu) vs 1.2/1000 (Kuopio) (p<0.001). Similarly, the first admissions were 0.2/1000 vs 1.0/1000 (p<0.001), proportions of readmissions 6.3% vs 19.3% (p<0.05), and numbers of hospital days 0.7/1000 vs 3.8/1000 (p<0.001). The differences were in the same direction, though less prominent, also among children 2-5 y of age.",Our results suggest that inhaled steroids are better than cromones in preventing admissions for asthma when two provinces with different practices for maintenance medication of steady-state asthma were compared.,yes,16,167
12836106,Does the leukocyte count correlate with the severity of injury?,"Injury severity score (ISS), Glasgow coma score (GCS), and revised trauma score (RTS) are the most frequently used methods to evaluate the severity of injury in blunt trauma patients. ISS is too complicated to assess easily and GCS and RTS are easy to assess but somewhat subjective. White blood cell count (WBC) is an easy, quick and objective test. This study was performed to evaluate the significance of the WBC count at presentation in the blunt trauma patients. 713 blunt trauma patients, who were admitted to the Uludag University Medical Center Emergency Department between 01.04.2000-31.12.2000, were retrospectively evaluated in terms of ISS, GCS, RTS and white blood cell count at presentation. Statistical analysis revealed that WBC was correlated positively with ISS, but negatively with GCS and RTS.",The leukocyte count at presentation can be used as an adjunct in the evaluation of the severity of injury in blunt trauma patients.,yes,10,127
9582182,Does the SCL 90-R obsessive-compulsive dimension identify cognitive impairments?,"To investigate the relevance of the Symptom Checklist 90-R Obsessive-Compulsive subscale to cognition in individuals with brain tumor. A prospective study of patients assessed with a neuropsychological test battery. A university medical center. Nineteen adults with biopsy-confirmed diagnoses of malignant brain tumors were assessed prior to aggressive chemotherapy. Included in the assessment were the Mattis Dementia Rating Scale, California Verbal Learning Test, Trail Making Test B, Symptom Checklist 90-R, Mood Assessment Scale, Beck Anxiety Inventory, and Chronic Illness Problem Inventory. The SCL 90-R Obsessive-Compulsive subscale was not related to objective measures of attention, verbal memory, or age. It was related significantly to symptoms of depression (r = .81, P<.005), anxiety (r = .66, P<.005), and subjective complaints of memory problems (r = .75, P<.005). Multivariate analyses indicated that reported symptoms of depression contributed 66% of the variance in predicting SCL 90-R Obsessive-Compulsive Scores, whereas symptoms of anxiety contributed an additional 6% (P<.0001).",Our data suggest that the SCL 90-R is best viewed as an indicator of unidimensional emotional distress and somatic effects of structural brain injury.,yes,9,152
17502203,Cholestasis associated with small bowel atresia: do we always need to investigate?,"Cholestasis occurs frequently in patients with small bowel atresia (SBA) and is often attributed to prolonged parental nutrition. When severe or prolonged, patients may undergo unnecessary intensive or invasive investigation. We characterized cholestasis and analyzed the pertinence of investigating this patient population. With Research Ethics Board approval, patients with SBA between 1996 and 2005 were retrospectively reviewed. Demographics, location of atresia, operative findings, complications, investigations, resumption of feeding, duration of prolonged parental nutrition, and follow-up information were examined. Cholestasis was evaluated for incidence, severity, and evolution. Fifty-five patients (29 male, 26 female), with a median gestational age and birth weight of 36 weeks and 2025 g, respectively, were reviewed. Care was withdrawn for 2 patients before repair. For the remaining 53 patients, SBA were duodenal atresia in 18, jejunoileal atresia in 32, and multiple atresia in 3. Of 53, 24 (45%) patients developed cholestasis postoperatively (direct/total bilirubin>20%). All patients with short bowel (4) and 60% (6/10) of patients with a delay of enteral feeding more than 14 days postoperatively had cholestasis. Ten patients (36%) proceeded with in-depth evaluations for cholestasis, with 8 (28%) undergoing liver biopsy. No patient had biliary atresia. No deaths were related to isolated cholestasis/cirrhosis. Cholestasis resolved spontaneously in all the survivors.",Small bowel atresia is frequently associated with postoperative cholestasis that will resolve with time. We recommend a more selective and expectant approach to SBA-associated cholestasis to minimize unnecessary investigations.,no,12,205
17276182,Stretch-sensitive KCNQ1 mutation A link between genetic and environmental factors in the pathogenesis of atrial fibrillation?,"This study sought to evaluate mutations in genes encoding the slow component of the cardiac delayed rectifier K+ current (I(Ks)) channel in familial atrial fibrillation (AF). Although AF can have a genetic etiology, links between inherited gene defects and acquired factors such as atrial stretch have not been explored. Mutation screening of the KCNQ1, KCNE1, KCNE2, and KCNE3 genes was performed in 50 families with AF. The effects of mutant protein on cardiac I(Ks) activation were evaluated using electrophysiological studies and human atrial action potential modeling. One missense KCNQ1 mutation, R14C, was identified in 1 family with a high prevalence of hypertension. Atrial fibrillation was present only in older individuals who had developed atrial dilation and who were genotype positive. Patch-clamp studies of wild-type or R14C KCNQ1 expressed with KCNE1 in CHO cells showed no statistically significant differences between wild-type and mutant channel kinetics at baseline, or after activation of adenylate cyclase with forskolin. After exposure to hypotonic solution to elicit cell swelling/stretch, mutant channels showed a marked increase in current, a leftward shift in the voltage dependence of activation, altered channel kinetics, and shortening of the modeled atrial action potential duration.","These data suggest that the R14C KCNQ1 mutation alone is insufficient to cause AF. Rather, we suggest a model in which a ""second hit"", such as an environmental factor like hypertension, which promotes atrial stretch and thereby unmasks an inherited defect in ion channel kinetics (the ""first hit""), is required for AF to be manifested. Such a model would also account for the age-related increase in AF development.",yes,16,192
18783922,Do cytokines have any role in epilepsy?,"We analyzed cytokines levels in patients with epilepsy and new onset seizure and correlated it with various parameters. After obtaining consent, serum samples from 100 patients with epilepsy or new onset seizure were prospectively collected in the immediate post-ictal phase. In 16 patients, a second sample was collected during the seizure-free period. The serum cytokine levels [TNF-alpha, IFN-gamma, IL-1beta, IL-2, IL-4, and IL-6] were assessed (ELISA) in these patients and 100 matched healthy controls. CSF analysis was carried out in 9 patients of this cohort, when clinically indicated. The type of seizures (n=100) was major (45), partial (41) and status epilepticus (SE=14), while the epilepsy syndromes were idiopathic generalized (53) and localization related (47). The detectable serum cytokines in the patient group (n=100) were: IL-6 (42), TNF-alpha (36), IL-2 (22), IL-4 (22), IFN-gamma (20) and IL-1 (11) compared to the controls. CSF IL-6 and IL-1 was detectable in 4/9 and 2/9 patients, respectively while, IL-2, IL-4, IFN-gamma was detectable 1 in each patient. Correlations were noted between male gender and IL-1beta (p=0.04), positive family history and IL-1beta (p=0.001), ""no alcohol use"" and TNF-alpha (p=0.05), more than one year history of epilepsy and IL-1beta (p=0.02), status epilepticus (SE) and IL-6 (p=0.04). There was no difference between the new onset seizures vs. epilepsy group. Serial analysis during the seizure-free period revealed a decrease in cytokine levels: TNF-alpha (25% to 12.5%), IFN-gamma (12.5% to 0%), IL-1 (25% to 0) and IL-2 (6.2% to 6.2%), IL-4 (18.8% to 0%) and IL-6 (18.8% to 6.2%).",We found increased post-ictal serum cytokine levels in patients with several epilepsy syndromes.,yes,7,250
23389866,Chemoradiotherapy in the management of locally advanced squamous cell carcinoma esophagus: is surgical resection required?,"The present study aims to evaluate benefit of adding surgery to chemoradiotherapy alone in management of carcinoma esophagus. We retrospectively analyzed 45 eligible patients of squamous cell esophageal carcinoma which were enrolled from February 2008 to April 2009. All patients were treated with chemoradiotherapy (50.40 Gy with 40 mg/m(2) of weekly cisplatin). Tumor response was assessed after 6 weeks of treatment. Patients with resectable disease were subjected to surgical resection (arm A) and remaining was kept on regular clinical follow-up (arm B). Overall survival (OS) was selected as the primary endpoint. The secondary end points were disease-free survival (DFS) and clinical toxicities. Median follow-up was 13.6 months. Pathological complete response was seen in 60.9 % patients in arm A. In arm B, 77.3 % patients attained radiological complete response (p = 0.194). The median OS was 16.4 and 19.1 months (p = 0.388) and median DFS was 5.8 and 4.1 months (p = 0.347) in arm A and B, respectively. The 2-year survival probability was 39.1 and 36.4 % (p = 0.387) in arm A and B, respectively. The recurrence probability was 56.5 % (SE = 5.6 %) and 45.5 % (SE = 4.2 %) (p = 0.328) in arm A and B, respectively. The probability of loco regional recurrence was more in arm B than in arm A (p = 0.002).",The study suggests that there is no difference in clinical toxicity profiles or survival outcomes with either definitive chemoradiotherapy or chemoradiation followed by surgery in management of locally advanced esophageal cancer.,no,15,222
19409117,Can infundibular height predict the clearance of lower pole calyceal stone after extracorporeal shockwave lithotripsy?,"To evaluate the efficacy of extracorporeal shock wave lithotripsy (SWL) on lower calyceal calculi in relation to the renal anatomical factors and determine which of these factors can be used to select patients who will benefit from SWL. We analyzed retrospectively 78 patients with single radiopaque lower calyceal stones treated with SWL. The patients were evaluated 3 months after lithotripsy with a simple abdominal X-ray and a kidney ultrasound scan. The success of the treatment, removal of all fragments, was correlated with renal anatomical factors measured in the pre-treatment intravenous urography: infundibulopelvic angle, lower infundibulum width, lower infundibulum length, ratio length/width, infundibulum height, and number of minor calyces in the lower calyceal group. Three months after SWL treatment, 39 patients were stone-free (NR group) and 39 had residual fragments (R group). Both groups presented no differences in relation to infundibulopelvic angle, width and length of the lower calyceal infundibulum, length/width ratio of the lower infundibulum or number of lower calyces. Height of the infundibulum, described as the distance between the line passing through the lowest part of the calyx containing the calculus and the highest point of the lower lip of renal pelvis, was the only parameter in which significant differences (p = 0.002) were found between the NR and R groups.",Lower Infundibular height could be a good measurement tool for deciding which patients with lower calyceal lithiasis would benefit from SWL treatment. Height of less than 22 mm suggests a good outcome from lithotripsy.,yes,15,212
